timestep,mean_reward_last_100,mean_episode_length_last_100
1000,0.3258427,11.0
2000,0.25,9.79
3000,0.25,9.77
4000,0.25,9.53
5000,0.32,10.72
6000,0.32,10.39
7000,0.42,12.2
8000,0.29,10.46
9000,0.29,10.16
10000,0.25,9.79
11000,0.33,10.24
12000,0.33,10.48
13000,0.36,10.87
14000,0.33,10.37
15000,0.41,11.03
16000,0.34,10.53
17000,0.43,11.38
18000,0.52,12.75
19000,0.68,14.68
20000,0.72,15.09
21000,0.42,11.49
22000,0.46,11.94
23000,0.29,9.81
24000,0.33,10.46
25000,0.37,10.78
26000,0.39,11.22
27000,0.25,9.62
28000,0.32,10.23
29000,0.41,11.35
30000,0.42,11.67
31000,0.37,11.0
32000,0.37,11.11
33000,0.35,10.95
34000,0.39,11.53
35000,0.38,10.79
36000,0.49,12.21
37000,0.54,12.92
38000,0.42,11.3
39000,0.36,10.97
40000,0.26,9.51
41000,0.48,12.39
42000,0.38,10.85
43000,0.44,11.89
44000,0.46,12.19
45000,0.45,12.29
46000,0.63,14.67
47000,0.55,13.29
48000,0.48,12.51
49000,0.57,13.71
50000,0.64,14.57
