timestep,mean_reward_last_100,mean_episode_length_last_100,total_episodes
1000,0.22,9.57,103
2000,0.3,10.63,195
3000,0.35,11.49,279
4000,0.25,9.71,384
5000,0.31,10.6,479
6000,0.32,10.58,572
7000,0.37,11.57,663
8000,0.27,9.89,765
9000,0.38,11.21,849
10000,0.2,9.0,957
11000,0.22,9.38,1063
12000,0.27,10.19,1162
13000,0.32,10.82,1254
14000,0.27,10.01,1352
15000,0.41,12.19,1433
16000,0.21,9.31,1538
17000,0.4,11.91,1615
18000,0.3,10.46,1710
19000,0.32,10.65,1799
20000,0.31,10.72,1894
21000,0.42,12.18,1974
22000,0.35,10.94,2063
23000,0.3,10.37,2159
24000,0.37,10.85,2254
25000,0.38,11.72,2339
26000,0.26,9.63,2445
27000,0.29,10.21,2544
28000,0.35,11.22,2632
29000,0.37,11.27,2718
30000,0.27,9.81,2820
31000,0.25,9.67,2925
32000,0.31,10.65,3016
33000,0.31,10.13,3114
34000,0.32,10.72,3205
35000,0.28,10.12,3304
36000,0.23,9.27,3408
37000,0.27,9.75,3509
38000,0.35,11.06,3596
39000,0.27,9.91,3698
40000,0.3,10.17,3794
41000,0.26,9.58,3899
42000,0.24,9.26,4006
43000,0.35,10.78,4096
44000,0.44,11.97,4175
45000,0.31,10.46,4271
46000,0.38,11.34,4361
47000,0.39,11.37,4446
48000,0.37,11.29,4535
49000,0.26,9.67,4636
50000,0.38,11.42,4719
51000,0.24,9.44,4826
52000,0.32,10.63,4920
53000,0.38,11.29,5011
54000,0.28,9.93,5112
55000,0.42,12.36,5187
56000,0.26,9.65,5292
57000,0.26,9.74,5393
58000,0.3,10.31,5490
59000,0.42,12.3,5570
60000,0.35,10.71,5665
61000,0.45,12.34,5746
62000,0.37,11.45,5834
63000,0.47,12.74,5911
64000,0.34,10.84,6004
65000,0.49,12.72,6081
66000,0.47,12.46,6163
67000,0.53,13.63,6235
68000,0.56,13.97,6310
69000,0.66,15.2,6369
70000,0.57,14.37,6445
71000,0.5,12.93,6521
72000,0.5,13.03,6600
73000,0.52,13.12,6669
74000,0.45,12.28,6751
75000,0.44,12.21,6830
76000,0.55,13.8,6900
77000,0.56,13.67,6969
78000,0.59,13.93,7043
79000,0.7,15.22,7107
80000,0.66,14.97,7170
81000,0.69,15.3,7235
82000,0.65,14.97,7305
83000,0.64,15.32,7370
84000,0.56,13.51,7436
85000,0.53,13.44,7507
86000,0.57,13.65,7581
87000,0.64,14.74,7645
88000,0.66,14.76,7715
89000,0.71,15.58,7779
90000,0.69,15.48,7841
91000,0.67,14.66,7911
92000,0.74,15.92,7971
93000,0.82,17.18,8025
94000,0.83,16.83,8090
95000,0.85,17.03,8142
96000,1.0,19.14,8195
97000,0.76,15.88,8258
98000,0.84,16.74,8310
99000,0.79,16.39,8375
100000,0.81,16.75,8430
101000,0.98,19.2,8479
102000,0.99,19.19,8534
103000,0.91,17.79,8585
104000,0.96,18.65,8638
105000,1.05,19.78,8688
106000,0.98,18.46,8742
107000,0.94,17.92,8803
108000,0.82,16.54,8859
109000,0.86,16.81,8914
110000,1.04,19.1,8962
111000,0.98,18.35,9023
112000,0.83,16.49,9083
113000,0.96,18.32,9135
114000,1.04,19.23,9186
115000,1.19,21.3,9229
116000,1.09,20.14,9286
117000,0.92,17.5,9342
118000,1.05,19.29,9392
119000,1.06,19.76,9444
120000,1.1,20.07,9490
121000,1.17,20.75,9540
