timestep,mean_reward_last_100,mean_episode_length_last_100
1000,0.25,9.89
2000,0.34,11.19
3000,0.45,12.12
4000,0.45,12.31
5000,0.33,10.84
6000,0.4,11.83
7000,0.27,9.93
8000,0.42,11.76
9000,0.24,9.65
10000,0.26,9.85
11000,0.34,10.73
12000,0.32,10.22
13000,0.36,11.03
14000,0.38,10.82
15000,0.35,10.87
16000,0.36,11.02
17000,0.27,9.62
18000,0.3,10.12
19000,0.38,10.99
20000,0.33,10.41
21000,0.39,11.47
22000,0.45,12.22
23000,0.39,11.46
24000,0.31,10.39
25000,0.5,12.64
26000,0.41,11.09
27000,0.39,11.28
28000,0.43,11.6
29000,0.42,11.72
30000,0.38,10.98
31000,0.37,10.87
32000,0.41,11.54
33000,0.4,10.93
34000,0.35,10.74
35000,0.51,12.99
36000,0.42,11.76
37000,0.46,12.15
38000,0.3,9.77
39000,0.35,10.79
40000,0.34,10.88
41000,0.44,12.08
42000,0.46,12.0
43000,0.45,11.85
44000,0.46,12.15
45000,0.34,10.76
46000,0.24,9.38
47000,0.39,11.11
48000,0.39,11.0
49000,0.48,12.52
50000,0.47,12.24
