timestep,mean_reward_last_100,mean_episode_length_last_100
1000,0.33707866,11.044943820224718
2000,0.38,11.49
3000,0.37,11.35
4000,0.3,10.27
5000,0.24,9.56
6000,0.32,10.87
7000,0.37,11.87
8000,0.32,10.46
9000,0.33,10.93
10000,0.37,11.5
11000,0.31,10.51
12000,0.34,11.24
13000,0.44,12.62
14000,0.37,11.62
15000,0.35,11.36
16000,0.28,9.87
17000,0.31,10.76
18000,0.42,12.01
19000,0.4,12.06
20000,0.31,10.54
21000,0.2,9.21
22000,0.32,10.7
23000,0.33,10.95
24000,0.27,10.16
25000,0.3,10.5
26000,0.24,9.63
27000,0.44,12.71
28000,0.37,11.43
29000,0.33,10.82
30000,0.29,10.35
31000,0.26,9.67
32000,0.39,12.0
33000,0.34,10.71
34000,0.31,10.31
35000,0.15,8.43
36000,0.31,10.35
37000,0.21,9.4
38000,0.35,10.96
39000,0.32,10.9
40000,0.33,10.97
41000,0.32,10.88
42000,0.33,11.0
43000,0.32,10.61
44000,0.28,10.13
45000,0.24,9.72
46000,0.31,10.39
47000,0.24,9.56
48000,0.29,10.54
49000,0.33,10.96
50000,0.31,10.36
51000,0.4,11.92
52000,0.33,10.62
53000,0.27,10.04
54000,0.33,10.51
55000,0.37,11.52
56000,0.27,9.9
57000,0.36,11.05
58000,0.31,10.57
59000,0.38,11.1
60000,0.36,11.14
61000,0.35,10.97
62000,0.3,10.01
63000,0.29,10.16
64000,0.35,11.04
65000,0.38,11.78
66000,0.34,10.77
67000,0.23,9.48
68000,0.32,10.51
69000,0.28,10.17
70000,0.32,10.52
71000,0.35,11.0
72000,0.4,11.73
73000,0.35,11.01
74000,0.27,10.0
75000,0.29,10.15
76000,0.35,11.24
77000,0.37,11.41
78000,0.24,9.46
79000,0.41,11.91
80000,0.33,10.65
81000,0.29,9.79
82000,0.2,8.98
83000,0.23,9.5
84000,0.14,8.14
85000,0.32,10.92
86000,0.24,9.81
87000,0.35,11.27
88000,0.3,10.59
89000,0.31,10.68
90000,0.39,11.49
91000,0.28,10.36
92000,0.38,11.24
93000,0.4,11.79
94000,0.25,9.9
95000,0.37,11.43
96000,0.3,10.37
97000,0.25,9.84
98000,0.28,9.9
99000,0.32,10.55
100000,0.28,10.19
101000,0.37,11.13
102000,0.31,10.72
103000,0.31,10.68
104000,0.31,10.64
105000,0.49,12.96
106000,0.46,12.49
107000,0.27,10.04
108000,0.28,10.28
109000,0.4,11.76
110000,0.38,11.71
111000,0.29,10.48
112000,0.22,9.42
113000,0.31,10.76
114000,0.38,11.87
115000,0.33,10.83
116000,0.38,11.75
117000,0.31,10.48
118000,0.28,9.99
119000,0.28,10.31
120000,0.39,11.75
121000,0.43,12.23
122000,0.39,11.42
123000,0.5,13.32
124000,0.45,12.46
125000,0.4,11.46
126000,0.44,12.32
127000,0.28,10.2
128000,0.3,10.41
129000,0.36,11.46
130000,0.44,12.63
131000,0.43,12.3
132000,0.42,12.23
133000,0.27,10.11
134000,0.3,10.46
135000,0.37,11.24
136000,0.46,12.8
137000,0.35,11.04
138000,0.23,9.49
139000,0.25,9.83
140000,0.31,10.54
141000,0.34,10.83
142000,0.42,11.9
143000,0.27,10.07
144000,0.33,10.49
145000,0.48,12.91
146000,0.36,11.36
147000,0.37,11.66
148000,0.33,10.92
149000,0.39,11.96
150000,0.39,11.92
151000,0.45,12.59
152000,0.38,11.32
153000,0.4,11.76
154000,0.42,11.9
155000,0.4,11.99
156000,0.5,13.02
157000,0.34,11.08
158000,0.47,13.0
159000,0.41,12.01
160000,0.36,10.97
161000,0.44,12.5
162000,0.29,10.28
163000,0.38,11.5
164000,0.38,11.15
165000,0.42,11.81
166000,0.41,12.28
167000,0.38,11.78
168000,0.46,12.32
169000,0.36,11.44
170000,0.41,12.03
171000,0.27,9.92
172000,0.38,11.4
173000,0.51,13.16
174000,0.48,12.5
175000,0.51,13.03
176000,0.52,13.22
177000,0.42,11.95
178000,0.51,13.12
179000,0.43,12.08
180000,0.38,11.58
181000,0.54,13.93
182000,0.31,10.46
183000,0.35,11.12
184000,0.36,11.39
185000,0.35,11.28
186000,0.37,11.22
187000,0.48,12.67
188000,0.59,14.32
189000,0.44,12.26
190000,0.49,12.82
191000,0.56,13.58
192000,0.49,12.79
193000,0.63,14.77
194000,0.55,13.66
195000,0.64,14.84
196000,0.55,13.7
197000,0.47,12.73
198000,0.55,13.96
199000,0.77,16.79
200000,0.76,15.98
201000,0.54,13.17
202000,0.55,13.37
203000,0.49,12.92
204000,0.48,12.67
205000,0.49,12.75
206000,0.44,12.19
207000,0.48,12.97
208000,0.49,12.92
209000,0.43,12.19
210000,0.46,12.4
211000,0.48,12.74
212000,0.5,13.2
213000,0.51,13.7
214000,0.63,15.25
215000,0.9,18.41
216000,0.73,15.97
217000,0.54,13.57
218000,0.65,15.3
219000,0.63,14.68
220000,0.71,15.44
221000,0.63,14.32
222000,0.7,15.16
223000,0.73,15.6
224000,0.77,16.32
225000,0.42,12.13
226000,0.56,13.99
227000,0.48,12.6
228000,0.56,13.66
229000,0.6,14.12
230000,0.6,14.17
231000,0.81,16.68
232000,0.58,13.99
233000,0.73,15.49
234000,0.56,13.52
235000,0.41,11.81
236000,0.36,11.08
237000,0.39,11.65
238000,0.45,12.23
239000,0.51,13.42
240000,0.45,12.17
241000,0.57,13.82
242000,0.52,13.18
243000,0.63,14.68
244000,0.6,14.68
245000,0.54,13.38
246000,0.48,12.79
247000,0.51,13.4
248000,0.45,12.2
249000,0.61,14.27
250000,0.65,14.42
251000,0.69,15.58
252000,0.76,16.75
253000,0.62,14.73
254000,0.55,13.56
255000,0.6,14.65
256000,0.59,14.24
257000,0.57,13.81
258000,0.53,13.26
259000,0.69,14.88
260000,0.53,13.1
261000,0.49,13.08
